,Long,Short
2025-06-01 00:00:00+02:00,257.4,257.4
2025-06-01 00:15:00+02:00,220.0,220.0
2025-06-01 00:30:00+02:00,114.7,114.7
2025-06-01 00:45:00+02:00,82.65,82.65
2025-06-01 01:00:00+02:00,112.1,112.1
2025-06-01 01:15:00+02:00,14.92,14.92
2025-06-01 01:30:00+02:00,14.12,14.12
2025-06-01 01:45:00+02:00,31.13,31.13
2025-06-01 02:00:00+02:00,76.95,76.95
2025-06-01 02:15:00+02:00,104.74,104.74
2025-06-01 02:30:00+02:00,108.7,108.7
2025-06-01 02:45:00+02:00,71.65,71.65
2025-06-01 03:00:00+02:00,56.89,56.89
2025-06-01 03:15:00+02:00,0.56,0.56
2025-06-01 03:30:00+02:00,-17.07,-17.07
2025-06-01 03:45:00+02:00,-12.97,-12.97
2025-06-01 04:00:00+02:00,2.0,2.0
2025-06-01 04:15:00+02:00,22.87,22.87
2025-06-01 04:30:00+02:00,8.16,8.16
2025-06-01 04:45:00+02:00,-7.78,-7.78
2025-06-01 05:00:00+02:00,38.94,38.94
2025-06-01 05:15:00+02:00,-10.18,-10.18
2025-06-01 05:30:00+02:00,38.94,38.94
2025-06-01 05:45:00+02:00,56.06,56.06
2025-06-01 06:00:00+02:00,94.45,94.45
2025-06-01 06:15:00+02:00,267.9,267.9
2025-06-01 06:30:00+02:00,55.0,55.0
2025-06-01 06:45:00+02:00,60.0,60.0
2025-06-01 07:00:00+02:00,60.0,60.0
2025-06-01 07:15:00+02:00,27.5,27.5
2025-06-01 07:30:00+02:00,16.68,16.68
2025-06-01 07:45:00+02:00,8.47,8.47
2025-06-01 08:00:00+02:00,-20.65,-20.65
2025-06-01 08:15:00+02:00,-49.82,-49.82
2025-06-01 08:30:00+02:00,-139.42,-139.42
2025-06-01 08:45:00+02:00,-84.69,-84.69
2025-06-01 09:00:00+02:00,39.18,39.18
2025-06-01 09:15:00+02:00,-5.81,-5.81
2025-06-01 09:30:00+02:00,-120.9,-120.9
2025-06-01 09:45:00+02:00,-6.44,-6.44
2025-06-01 10:00:00+02:00,-5.08,-5.08
2025-06-01 10:15:00+02:00,-23.48,-23.48
2025-06-01 10:30:00+02:00,-27.79,-27.79
2025-06-01 10:45:00+02:00,-103.11,-103.11
2025-06-01 11:00:00+02:00,-120.9,-120.9
2025-06-01 11:15:00+02:00,-0.03,-0.03
2025-06-01 11:30:00+02:00,23.35,23.35
2025-06-01 11:45:00+02:00,23.35,23.35
2025-06-01 12:00:00+02:00,-10.0,-10.0
2025-06-01 12:15:00+02:00,-11.64,-11.64
2025-06-01 12:30:00+02:00,-16.02,-16.02
2025-06-01 12:45:00+02:00,-47.8,-47.8
2025-06-01 13:00:00+02:00,-48.48,-48.48
2025-06-01 13:15:00+02:00,-30.77,-30.77
2025-06-01 13:30:00+02:00,-8.01,-8.01
2025-06-01 13:45:00+02:00,0.92,0.92
2025-06-01 14:00:00+02:00,27.5,27.5
2025-06-01 14:15:00+02:00,-5.0,-5.0
2025-06-01 14:30:00+02:00,-5.0,-5.0
2025-06-01 14:45:00+02:00,55.0,55.0
2025-06-01 15:00:00+02:00,22.5,22.5
2025-06-01 15:15:00+02:00,23.0,23.0
2025-06-01 15:30:00+02:00,23.0,23.0
2025-06-01 15:45:00+02:00,96.39,96.39
2025-06-01 16:00:00+02:00,60.13,60.13
2025-06-01 16:15:00+02:00,92.18,92.18
2025-06-01 16:30:00+02:00,162.49,162.49
2025-06-01 16:45:00+02:00,145.2,145.2
2025-06-01 17:00:00+02:00,8.43,8.43
2025-06-01 17:15:00+02:00,14.68,14.68
2025-06-01 17:30:00+02:00,52.3,52.3
2025-06-01 17:45:00+02:00,48.16,48.16
2025-06-01 18:00:00+02:00,-13.23,-13.23
2025-06-01 18:15:00+02:00,-10.0,-10.0
2025-06-01 18:30:00+02:00,82.35,82.35
2025-06-01 18:45:00+02:00,120.56,120.56
2025-06-01 19:00:00+02:00,23.54,23.54
2025-06-01 19:15:00+02:00,90.58,90.58
2025-06-01 19:30:00+02:00,120.56,120.56
2025-06-01 19:45:00+02:00,60.6,60.6
2025-06-01 20:00:00+02:00,64.6,64.6
2025-06-01 20:15:00+02:00,59.1,59.1
2025-06-01 20:30:00+02:00,45.76,45.76
2025-06-01 20:45:00+02:00,59.1,59.1
2025-06-01 21:00:00+02:00,49.11,49.11
2025-06-01 21:15:00+02:00,29.81,29.81
2025-06-01 21:30:00+02:00,119.6,119.6
2025-06-01 21:45:00+02:00,145.18,145.18
2025-06-01 22:00:00+02:00,119.6,119.6
2025-06-01 22:15:00+02:00,119.6,119.6
2025-06-01 22:30:00+02:00,76.1,76.1
2025-06-01 22:45:00+02:00,35.2,35.2
2025-06-01 23:00:00+02:00,78.3,78.3
2025-06-01 23:15:00+02:00,77.0,77.0
2025-06-01 23:30:00+02:00,77.0,77.0
2025-06-01 23:45:00+02:00,109.89,109.89
2025-06-02 00:00:00+02:00,184.42,184.42
2025-06-02 00:15:00+02:00,183.76,183.76
2025-06-02 00:30:00+02:00,155.08,155.08
2025-06-02 00:45:00+02:00,79.3,79.3
2025-06-02 01:00:00+02:00,124.7,124.7
2025-06-02 01:15:00+02:00,124.9,124.9
2025-06-02 01:30:00+02:00,128.38,128.38
2025-06-02 01:45:00+02:00,200.0,200.0
2025-06-02 02:00:00+02:00,103.27,103.27
2025-06-02 02:15:00+02:00,125.48,125.48
2025-06-02 02:30:00+02:00,125.48,125.48
2025-06-02 02:45:00+02:00,125.48,125.48
2025-06-02 03:00:00+02:00,49.23,49.23
2025-06-02 03:15:00+02:00,87.14,87.14
2025-06-02 03:30:00+02:00,87.14,87.14
2025-06-02 03:45:00+02:00,87.14,87.14
2025-06-02 04:00:00+02:00,65.9,65.9
2025-06-02 04:15:00+02:00,65.9,65.9
2025-06-02 04:30:00+02:00,65.9,65.9
2025-06-02 04:45:00+02:00,71.8,71.8
2025-06-02 05:00:00+02:00,67.63,67.63
2025-06-02 05:15:00+02:00,-18.09,-18.09
2025-06-02 05:30:00+02:00,0.0,0.0
2025-06-02 05:45:00+02:00,67.69,67.69
2025-06-02 06:00:00+02:00,92.19,92.19
2025-06-02 06:15:00+02:00,92.04,92.04
2025-06-02 06:30:00+02:00,121.01,121.01
2025-06-02 06:45:00+02:00,91.59,91.59
2025-06-02 07:00:00+02:00,120.48,120.48
2025-06-02 07:15:00+02:00,47.2,47.2
2025-06-02 07:30:00+02:00,42.93,42.93
2025-06-02 07:45:00+02:00,125.48,125.48
2025-06-02 08:00:00+02:00,80.0,80.0
2025-06-02 08:15:00+02:00,80.0,80.0
2025-06-02 08:30:00+02:00,51.91,51.91
2025-06-02 08:45:00+02:00,51.91,51.91
2025-06-02 09:00:00+02:00,51.91,51.91
2025-06-02 09:15:00+02:00,86.36,86.36
2025-06-02 09:30:00+02:00,23.82,23.82
2025-06-02 09:45:00+02:00,51.91,51.91
2025-06-02 10:00:00+02:00,376.71,376.71
2025-06-02 10:15:00+02:00,39.57,39.57
2025-06-02 10:30:00+02:00,23.64,23.64
2025-06-02 10:45:00+02:00,6.01,6.01
2025-06-02 11:00:00+02:00,34.92,34.92
2025-06-02 11:15:00+02:00,29.37,29.37
2025-06-02 11:30:00+02:00,29.37,29.37
2025-06-02 11:45:00+02:00,326.87,326.87
2025-06-02 12:00:00+02:00,223.86,223.86
2025-06-02 12:15:00+02:00,269.11,269.11
2025-06-02 12:30:00+02:00,167.73,167.73
2025-06-02 12:45:00+02:00,302.38,302.38
2025-06-02 13:00:00+02:00,297.15,297.15
2025-06-02 13:15:00+02:00,181.88,181.88
2025-06-02 13:30:00+02:00,52.4,52.4
2025-06-02 13:45:00+02:00,52.4,52.4
2025-06-02 14:00:00+02:00,52.9,52.9
2025-06-02 14:15:00+02:00,25.79,25.79
2025-06-02 14:30:00+02:00,42.2,42.2
2025-06-02 14:45:00+02:00,42.2,42.2
2025-06-02 15:00:00+02:00,43.9,43.9
2025-06-02 15:15:00+02:00,40.43,40.43
2025-06-02 15:30:00+02:00,49.55,49.55
2025-06-02 15:45:00+02:00,24.93,24.93
2025-06-02 16:00:00+02:00,8.16,8.16
2025-06-02 16:15:00+02:00,2.07,2.07
2025-06-02 16:30:00+02:00,51.11,51.11
2025-06-02 16:45:00+02:00,93.52,93.52
2025-06-02 17:00:00+02:00,118.08,118.08
2025-06-02 17:15:00+02:00,94.3,94.3
2025-06-02 17:30:00+02:00,142.04,142.04
2025-06-02 17:45:00+02:00,116.33,116.33
2025-06-02 18:00:00+02:00,186.54,186.54
2025-06-02 18:15:00+02:00,131.1,131.1
2025-06-02 18:30:00+02:00,155.31,155.31
2025-06-02 18:45:00+02:00,139.74,139.74
2025-06-02 19:00:00+02:00,106.82,106.82
2025-06-02 19:15:00+02:00,67.67,67.67
2025-06-02 19:30:00+02:00,123.33,123.33
2025-06-02 19:45:00+02:00,123.33,123.33
2025-06-02 20:00:00+02:00,131.13,131.13
2025-06-02 20:15:00+02:00,125.15,125.15
2025-06-02 20:30:00+02:00,137.26,137.26
2025-06-02 20:45:00+02:00,140.15,140.15
2025-06-02 21:00:00+02:00,282.51,282.51
2025-06-02 21:15:00+02:00,120.48,120.48
2025-06-02 21:30:00+02:00,128.6,128.6
2025-06-02 21:45:00+02:00,68.3,68.3
2025-06-02 22:00:00+02:00,80.81,80.81
2025-06-02 22:15:00+02:00,101.7,101.7
2025-06-02 22:30:00+02:00,68.38,68.38
2025-06-02 22:45:00+02:00,50.95,50.95
2025-06-02 23:00:00+02:00,55.2,55.2
2025-06-02 23:15:00+02:00,55.2,55.2
2025-06-02 23:30:00+02:00,25.0,25.0
2025-06-02 23:45:00+02:00,24.45,24.45
2025-06-03 00:00:00+02:00,101.34,101.34
2025-06-03 00:15:00+02:00,32.09,32.09
2025-06-03 00:30:00+02:00,101.34,101.34
2025-06-03 00:45:00+02:00,95.05,95.05
2025-06-03 01:00:00+02:00,89.18,89.18
2025-06-03 01:15:00+02:00,93.18,93.18
2025-06-03 01:30:00+02:00,-11.53,-11.53
2025-06-03 01:45:00+02:00,86.23,86.23
2025-06-03 02:00:00+02:00,104.37,104.37
2025-06-03 02:15:00+02:00,107.26,107.26
2025-06-03 02:30:00+02:00,89.8,89.8
2025-06-03 02:45:00+02:00,83.11,83.11
2025-06-03 03:00:00+02:00,201.58,201.58
2025-06-03 03:15:00+02:00,79.47,79.47
2025-06-03 03:30:00+02:00,23.82,23.82
2025-06-03 03:45:00+02:00,5.97,5.97
2025-06-03 04:00:00+02:00,60.91,60.91
2025-06-03 04:15:00+02:00,177.37,177.37
2025-06-03 04:30:00+02:00,60.41,60.41
2025-06-03 04:45:00+02:00,23.82,23.82
2025-06-03 05:00:00+02:00,171.7,171.7
2025-06-03 05:15:00+02:00,63.26,63.26
2025-06-03 05:30:00+02:00,23.82,23.82
2025-06-03 05:45:00+02:00,21.48,21.48
2025-06-03 06:00:00+02:00,19.15,19.15
2025-06-03 06:15:00+02:00,58.36,58.36
2025-06-03 06:30:00+02:00,58.56,58.56
2025-06-03 06:45:00+02:00,23.82,23.82
2025-06-03 07:00:00+02:00,49.26,49.26
2025-06-03 07:15:00+02:00,6.83,6.83
2025-06-03 07:30:00+02:00,47.96,47.96
2025-06-03 07:45:00+02:00,47.66,47.66
2025-06-03 08:00:00+02:00,301.3,301.3
2025-06-03 08:15:00+02:00,233.75,233.75
2025-06-03 08:30:00+02:00,300.0,300.0
2025-06-03 08:45:00+02:00,41.91,41.91
2025-06-03 09:00:00+02:00,139.43,139.43
2025-06-03 09:15:00+02:00,-10.0,-10.0
2025-06-03 09:30:00+02:00,-18.78,-18.78
2025-06-03 09:45:00+02:00,-37.14,-37.14
2025-06-03 10:00:00+02:00,-27.03,-27.03
2025-06-03 10:15:00+02:00,-52.94,-52.94
2025-06-03 10:30:00+02:00,-163.0,-163.0
2025-06-03 10:45:00+02:00,-163.0,-163.0
2025-06-03 11:00:00+02:00,-11.61,-11.61
2025-06-03 11:15:00+02:00,-10.0,-10.0
2025-06-03 11:30:00+02:00,25.0,25.0
2025-06-03 11:45:00+02:00,-27.41,-27.41
2025-06-03 12:00:00+02:00,-28.53,-28.53
2025-06-03 12:15:00+02:00,-43.76,-43.76
2025-06-03 12:30:00+02:00,-124.46,-124.46
2025-06-03 12:45:00+02:00,-61.78,-61.78
2025-06-03 13:00:00+02:00,-260.91,-260.91
2025-06-03 13:15:00+02:00,-174.56,-174.56
2025-06-03 13:30:00+02:00,-165.85,-165.85
2025-06-03 13:45:00+02:00,-164.75,-164.75
2025-06-03 14:00:00+02:00,-163.0,-163.0
2025-06-03 14:15:00+02:00,-11.88,-11.88
2025-06-03 14:30:00+02:00,-11.31,-11.31
2025-06-03 14:45:00+02:00,25.0,25.0
2025-06-03 15:00:00+02:00,92.3,92.3
2025-06-03 15:15:00+02:00,259.39,259.39
2025-06-03 15:30:00+02:00,25.0,25.0
2025-06-03 15:45:00+02:00,25.0,25.0
2025-06-03 16:00:00+02:00,73.8,73.8
2025-06-03 16:15:00+02:00,73.0,73.0
2025-06-03 16:30:00+02:00,112.97,112.97
2025-06-03 16:45:00+02:00,177.57,177.57
2025-06-03 17:00:00+02:00,72.7,72.7
2025-06-03 17:15:00+02:00,71.8,71.8
2025-06-03 17:30:00+02:00,80.6,80.6
2025-06-03 17:45:00+02:00,116.48,116.48
2025-06-03 18:00:00+02:00,33.66,33.66
2025-06-03 18:15:00+02:00,33.49,33.49
2025-06-03 18:30:00+02:00,138.01,138.01
2025-06-03 18:45:00+02:00,81.25,81.25
2025-06-03 19:00:00+02:00,86.85,86.85
2025-06-03 19:15:00+02:00,129.25,129.25
2025-06-03 19:30:00+02:00,137.19,137.19
2025-06-03 19:45:00+02:00,201.48,201.48
2025-06-03 20:00:00+02:00,200.27,200.27
2025-06-03 20:15:00+02:00,131.1,131.1
2025-06-03 20:30:00+02:00,160.08,160.08
2025-06-03 20:45:00+02:00,151.44,151.44
2025-06-03 21:00:00+02:00,183.32,183.32
2025-06-03 21:15:00+02:00,153.89,153.89
2025-06-03 21:30:00+02:00,110.6,110.6
2025-06-03 21:45:00+02:00,110.6,110.6
2025-06-03 22:00:00+02:00,109.6,109.6
2025-06-03 22:15:00+02:00,110.66,110.66
2025-06-03 22:30:00+02:00,104.77,104.77
2025-06-03 22:45:00+02:00,48.75,48.75
2025-06-03 23:00:00+02:00,103.94,103.94
2025-06-03 23:15:00+02:00,200.27,200.27
2025-06-03 23:30:00+02:00,104.28,104.28
2025-06-03 23:45:00+02:00,69.47,69.47
2025-06-04 00:00:00+02:00,117.16,117.16
2025-06-04 00:15:00+02:00,236.79,236.79
2025-06-04 00:30:00+02:00,52.83,52.83
2025-06-04 00:45:00+02:00,52.83,52.83
2025-06-04 01:00:00+02:00,52.83,52.83
2025-06-04 01:15:00+02:00,95.46,95.46
2025-06-04 01:30:00+02:00,159.73,159.73
2025-06-04 01:45:00+02:00,322.68,322.68
2025-06-04 02:00:00+02:00,52.83,52.83
2025-06-04 02:15:00+02:00,25.66,25.66
2025-06-04 02:30:00+02:00,30.3,30.3
2025-06-04 02:45:00+02:00,28.71,28.71
2025-06-04 03:00:00+02:00,20.56,20.56
2025-06-04 03:15:00+02:00,-57.46,-57.46
2025-06-04 03:30:00+02:00,-79.78,-79.78
2025-06-04 03:45:00+02:00,18.21,18.21
2025-06-04 04:00:00+02:00,-103.0,-103.0
2025-06-04 04:15:00+02:00,38.47,38.47
2025-06-04 04:30:00+02:00,-114.39,-114.39
2025-06-04 04:45:00+02:00,-114.39,-114.39
2025-06-04 05:00:00+02:00,21.16,21.16
2025-06-04 05:15:00+02:00,35.0,35.0
2025-06-04 05:30:00+02:00,-65.0,-65.0
2025-06-04 05:45:00+02:00,65.48,65.48
2025-06-04 06:00:00+02:00,27.16,27.16
2025-06-04 06:15:00+02:00,-45.0,-45.0
2025-06-04 06:30:00+02:00,34.38,34.38
2025-06-04 06:45:00+02:00,104.65,104.65
2025-06-04 07:00:00+02:00,96.45,96.45
2025-06-04 07:15:00+02:00,139.4,139.4
2025-06-04 07:30:00+02:00,122.44,122.44
2025-06-04 07:45:00+02:00,249.46,249.46
2025-06-04 08:00:00+02:00,300.0,300.0
2025-06-04 08:15:00+02:00,315.83,315.83
2025-06-04 08:30:00+02:00,505.69,505.69
2025-06-04 08:45:00+02:00,119.4,119.4
2025-06-04 09:00:00+02:00,69.09,69.09
2025-06-04 09:15:00+02:00,-35.09,-35.09
2025-06-04 09:30:00+02:00,-39.0,-39.0
2025-06-04 09:45:00+02:00,120.23,120.23
2025-06-04 10:00:00+02:00,14.13,14.13
2025-06-04 10:15:00+02:00,43.26,43.26
2025-06-04 10:30:00+02:00,51.54,51.54
2025-06-04 10:45:00+02:00,55.85,55.85
2025-06-04 11:00:00+02:00,-17.64,-17.64
2025-06-04 11:15:00+02:00,-82.17,-82.17
2025-06-04 11:30:00+02:00,-107.6,-107.6
2025-06-04 11:45:00+02:00,-100.87,-100.87
2025-06-04 12:00:00+02:00,-10.0,-10.0
2025-06-04 12:15:00+02:00,-11.84,-11.84
2025-06-04 12:30:00+02:00,-163.0,-163.0
2025-06-04 12:45:00+02:00,-10.94,-10.94
2025-06-04 13:00:00+02:00,-10.0,-10.0
2025-06-04 13:15:00+02:00,-11.36,-11.36
2025-06-04 13:30:00+02:00,27.8,27.8
2025-06-04 13:45:00+02:00,-29.36,-29.36
2025-06-04 14:00:00+02:00,2.94,2.94
2025-06-04 14:15:00+02:00,-1.08,-1.08
2025-06-04 14:30:00+02:00,42.2,42.2
2025-06-04 14:45:00+02:00,-7.54,-7.54
2025-06-04 15:00:00+02:00,49.25,49.25
2025-06-04 15:15:00+02:00,48.6,48.6
2025-06-04 15:30:00+02:00,48.45,48.45
2025-06-04 15:45:00+02:00,3.86,3.86
2025-06-04 16:00:00+02:00,-11.48,-11.48
2025-06-04 16:15:00+02:00,-11.44,-11.44
2025-06-04 16:30:00+02:00,-11.34,-11.34
2025-06-04 16:45:00+02:00,20.4,20.4
2025-06-04 17:00:00+02:00,71.8,71.8
2025-06-04 17:15:00+02:00,70.95,70.95
2025-06-04 17:30:00+02:00,125.35,125.35
2025-06-04 17:45:00+02:00,80.0,80.0
2025-06-04 18:00:00+02:00,79.08,79.08
2025-06-04 18:15:00+02:00,37.22,37.22
2025-06-04 18:30:00+02:00,109.73,109.73
2025-06-04 18:45:00+02:00,100.85,100.85
2025-06-04 19:00:00+02:00,90.0,90.0
2025-06-04 19:15:00+02:00,24.84,24.84
2025-06-04 19:30:00+02:00,55.36,55.36
2025-06-04 19:45:00+02:00,41.46,41.46
2025-06-04 20:00:00+02:00,52.8,52.8
2025-06-04 20:15:00+02:00,72.71,72.71
2025-06-04 20:30:00+02:00,66.85,66.85
2025-06-04 20:45:00+02:00,70.09,70.09
2025-06-04 21:00:00+02:00,62.72,62.72
2025-06-04 21:15:00+02:00,63.9,63.9
2025-06-04 21:30:00+02:00,71.95,71.95
2025-06-04 21:45:00+02:00,102.44,102.44
2025-06-04 22:00:00+02:00,83.43,83.43
2025-06-04 22:15:00+02:00,73.2,73.2
2025-06-04 22:30:00+02:00,73.2,73.2
2025-06-04 22:45:00+02:00,-32.0,-32.0
2025-06-04 23:00:00+02:00,122.04,122.04
2025-06-04 23:15:00+02:00,104.0,104.0
2025-06-04 23:30:00+02:00,81.96,81.96
2025-06-04 23:45:00+02:00,0.0,0.0
2025-06-05 00:00:00+02:00,39.4,39.4
2025-06-05 00:15:00+02:00,39.0,39.0
2025-06-05 00:30:00+02:00,38.3,38.3
2025-06-05 00:45:00+02:00,69.05,69.05
2025-06-05 01:00:00+02:00,37.0,37.0
2025-06-05 01:15:00+02:00,36.9,36.9
2025-06-05 01:30:00+02:00,36.7,36.7
2025-06-05 01:45:00+02:00,34.91,34.91
2025-06-05 02:00:00+02:00,38.2,38.2
2025-06-05 02:15:00+02:00,69.0,69.0
2025-06-05 02:30:00+02:00,109.7,109.7
2025-06-05 02:45:00+02:00,106.29,106.29
2025-06-05 03:00:00+02:00,114.35,114.35
2025-06-05 03:15:00+02:00,122.58,122.58
2025-06-05 03:30:00+02:00,100.0,100.0
2025-06-05 03:45:00+02:00,39.5,39.5
2025-06-05 04:00:00+02:00,35.94,35.94
2025-06-05 04:15:00+02:00,40.56,40.56
2025-06-05 04:30:00+02:00,37.76,37.76
2025-06-05 04:45:00+02:00,26.3,26.3
2025-06-05 05:00:00+02:00,20.54,20.54
2025-06-05 05:15:00+02:00,76.55,76.55
2025-06-05 05:30:00+02:00,101.16,101.16
2025-06-05 05:45:00+02:00,111.79,111.79
2025-06-05 06:00:00+02:00,200.0,200.0
2025-06-05 06:15:00+02:00,100.0,100.0
2025-06-05 06:30:00+02:00,102.73,102.73
2025-06-05 06:45:00+02:00,170.0,170.0
2025-06-05 07:00:00+02:00,41.5,41.5
2025-06-05 07:15:00+02:00,70.05,70.05
2025-06-05 07:30:00+02:00,69.9,69.9
2025-06-05 07:45:00+02:00,39.5,39.5
2025-06-05 08:00:00+02:00,25.06,25.06
2025-06-05 08:15:00+02:00,24.57,24.57
2025-06-05 08:30:00+02:00,26.4,26.4
2025-06-05 08:45:00+02:00,19.31,19.31
2025-06-05 09:00:00+02:00,19.19,19.19
2025-06-05 09:15:00+02:00,-5.0,-5.0
2025-06-05 09:30:00+02:00,-7.17,-7.17
2025-06-05 09:45:00+02:00,-31.63,-31.63
2025-06-05 10:00:00+02:00,-7.31,-7.31
2025-06-05 10:15:00+02:00,-12.61,-12.61
2025-06-05 10:30:00+02:00,-26.84,-26.84
2025-06-05 10:45:00+02:00,-14.0,-14.0
2025-06-05 11:00:00+02:00,-10.0,-10.0
2025-06-05 11:15:00+02:00,-10.91,-10.91
2025-06-05 11:30:00+02:00,30.45,30.45
2025-06-05 11:45:00+02:00,-10.0,-10.0
2025-06-05 12:00:00+02:00,72.8,72.8
2025-06-05 12:15:00+02:00,-11.25,-11.25
2025-06-05 12:30:00+02:00,74.9,74.9
2025-06-05 12:45:00+02:00,-10.0,-10.0
2025-06-05 13:00:00+02:00,42.6,42.6
2025-06-05 13:15:00+02:00,42.4,42.4
2025-06-05 13:30:00+02:00,87.9,87.9
2025-06-05 13:45:00+02:00,-2.45,-2.45
2025-06-05 14:00:00+02:00,16.4,16.4
2025-06-05 14:15:00+02:00,4.7,4.7
2025-06-05 14:30:00+02:00,-172.39,-172.39
2025-06-05 14:45:00+02:00,-168.0,-168.0
2025-06-05 15:00:00+02:00,18.89,18.89
2025-06-05 15:15:00+02:00,29.64,29.64
2025-06-05 15:30:00+02:00,70.85,70.85
2025-06-05 15:45:00+02:00,102.21,102.21
2025-06-05 16:00:00+02:00,100.0,100.0
2025-06-05 16:15:00+02:00,104.61,104.61
2025-06-05 16:30:00+02:00,129.44,129.44
2025-06-05 16:45:00+02:00,368.54,368.54
2025-06-05 17:00:00+02:00,374.2,374.2
2025-06-05 17:15:00+02:00,186.58,186.58
2025-06-05 17:30:00+02:00,93.4,93.4
2025-06-05 17:45:00+02:00,91.1,91.1
2025-06-05 18:00:00+02:00,35.72,35.72
2025-06-05 18:15:00+02:00,-1.24,-1.24
2025-06-05 18:30:00+02:00,-9.7,-9.7
2025-06-05 18:45:00+02:00,101.8,101.8
2025-06-05 19:00:00+02:00,141.81,141.81
2025-06-05 19:15:00+02:00,159.31,159.31
2025-06-05 19:30:00+02:00,93.35,93.35
2025-06-05 19:45:00+02:00,68.6,68.6
2025-06-05 20:00:00+02:00,45.06,45.06
2025-06-05 20:15:00+02:00,-0.51,-0.51
2025-06-05 20:30:00+02:00,-28.1,-28.1
2025-06-05 20:45:00+02:00,-28.74,-28.74
2025-06-05 21:00:00+02:00,86.9,86.9
2025-06-05 21:15:00+02:00,100.0,100.0
2025-06-05 21:30:00+02:00,86.9,86.9
2025-06-05 21:45:00+02:00,86.9,86.9
2025-06-05 22:00:00+02:00,100.74,100.74
2025-06-05 22:15:00+02:00,46.22,46.22
2025-06-05 22:30:00+02:00,53.88,53.88
2025-06-05 22:45:00+02:00,26.9,26.9
2025-06-05 23:00:00+02:00,61.88,61.88
2025-06-05 23:15:00+02:00,101.06,101.06
2025-06-05 23:30:00+02:00,122.47,122.47
2025-06-05 23:45:00+02:00,337.64,337.64
2025-06-06 00:00:00+02:00,330.89,330.89
2025-06-06 00:15:00+02:00,190.93,190.93
2025-06-06 00:30:00+02:00,66.2,66.2
2025-06-06 00:45:00+02:00,65.15,65.15
2025-06-06 01:00:00+02:00,26.93,26.93
2025-06-06 01:15:00+02:00,65.15,65.15
2025-06-06 01:30:00+02:00,19.28,19.28
2025-06-06 01:45:00+02:00,0.27,0.27
2025-06-06 02:00:00+02:00,57.82,57.82
2025-06-06 02:15:00+02:00,88.7,88.7
2025-06-06 02:30:00+02:00,59.02,59.02
2025-06-06 02:45:00+02:00,22.58,22.58
2025-06-06 03:00:00+02:00,55.82,55.82
2025-06-06 03:15:00+02:00,23.56,23.56
2025-06-06 03:30:00+02:00,9.24,9.24
2025-06-06 03:45:00+02:00,-4.61,-4.61
2025-06-06 04:00:00+02:00,4.6,4.6
2025-06-06 04:15:00+02:00,4.1,4.1
2025-06-06 04:30:00+02:00,3.5,3.5
2025-06-06 04:45:00+02:00,-0.63,-0.63
2025-06-06 05:00:00+02:00,-4.25,-4.25
2025-06-06 05:15:00+02:00,0.5,0.5
2025-06-06 05:30:00+02:00,-3.0,-3.0
2025-06-06 05:45:00+02:00,-8.1,-8.1
2025-06-06 06:00:00+02:00,-4.73,-4.73
2025-06-06 06:15:00+02:00,-3.69,-3.69
2025-06-06 06:30:00+02:00,-3.69,-3.69
2025-06-06 06:45:00+02:00,-3.69,-3.69
2025-06-06 07:00:00+02:00,73.07,73.07
2025-06-06 07:15:00+02:00,-3.69,-3.69
2025-06-06 07:30:00+02:00,-3.69,-3.69
2025-06-06 07:45:00+02:00,-6.04,-6.04
2025-06-06 08:00:00+02:00,-36.22,-36.22
2025-06-06 08:15:00+02:00,-120.9,-120.9
2025-06-06 08:30:00+02:00,-18.15,-18.15
2025-06-06 08:45:00+02:00,-156.4,-156.4
2025-06-06 09:00:00+02:00,-152.53,-152.53
2025-06-06 09:15:00+02:00,-11.02,-11.02
2025-06-06 09:30:00+02:00,-70.34,-70.34
2025-06-06 09:45:00+02:00,-22.84,-22.84
2025-06-06 10:00:00+02:00,165.98,165.98
2025-06-06 10:15:00+02:00,27.5,27.5
2025-06-06 10:30:00+02:00,-5.0,-5.0
2025-06-06 10:45:00+02:00,27.5,27.5
2025-06-06 11:00:00+02:00,60.0,60.0
2025-06-06 11:15:00+02:00,-5.0,-5.0
2025-06-06 11:30:00+02:00,-5.0,-5.0
2025-06-06 11:45:00+02:00,-5.0,-5.0
2025-06-06 12:00:00+02:00,-14.63,-14.63
2025-06-06 12:15:00+02:00,-10.0,-10.0
2025-06-06 12:30:00+02:00,-12.53,-12.53
2025-06-06 12:45:00+02:00,-14.28,-14.28
2025-06-06 13:00:00+02:00,-10.0,-10.0
2025-06-06 13:15:00+02:00,-18.54,-18.54
2025-06-06 13:30:00+02:00,-28.01,-28.01
2025-06-06 13:45:00+02:00,-35.67,-35.67
2025-06-06 14:00:00+02:00,25.0,25.0
2025-06-06 14:15:00+02:00,-43.45,-43.45
2025-06-06 14:30:00+02:00,-14.05,-14.05
2025-06-06 14:45:00+02:00,-10.0,-10.0
2025-06-06 15:00:00+02:00,-11.26,-11.26
2025-06-06 15:15:00+02:00,-23.31,-23.31
2025-06-06 15:30:00+02:00,27.55,27.55
2025-06-06 15:45:00+02:00,65.1,65.1
2025-06-06 16:00:00+02:00,60.05,60.05
2025-06-06 16:15:00+02:00,100.0,100.0
2025-06-06 16:30:00+02:00,100.0,100.0
2025-06-06 16:45:00+02:00,82.3,82.3
