,Long,Short
2025-06-01 00:00:00+02:00,55.5,55.5
2025-06-01 00:15:00+02:00,57.5,57.5
2025-06-01 00:30:00+02:00,3.35,3.35
2025-06-01 00:45:00+02:00,-0.03,-0.03
2025-06-01 01:00:00+02:00,-3.54,-3.54
2025-06-01 01:15:00+02:00,-19.73,-19.73
2025-06-01 01:30:00+02:00,-12.82,-12.82
2025-06-01 01:45:00+02:00,-4.4,-4.4
2025-06-01 02:00:00+02:00,3.35,3.35
2025-06-01 02:15:00+02:00,3.35,3.35
2025-06-01 02:30:00+02:00,-8.9,-8.9
2025-06-01 02:45:00+02:00,-14.03,-14.03
2025-06-01 03:00:00+02:00,-3.84,-3.84
2025-06-01 03:15:00+02:00,-4.11,-4.11
2025-06-01 03:30:00+02:00,-0.74,-0.74
2025-06-01 03:45:00+02:00,-0.76,-0.76
2025-06-01 04:00:00+02:00,19.39,19.39
2025-06-01 04:15:00+02:00,4.29,4.29
2025-06-01 04:30:00+02:00,-0.28,-0.28
2025-06-01 04:45:00+02:00,-10.93,-10.93
2025-06-01 05:00:00+02:00,-9.9,-9.9
2025-06-01 05:15:00+02:00,-13.14,-13.14
2025-06-01 05:30:00+02:00,-8.86,-8.86
2025-06-01 05:45:00+02:00,-5.37,-5.37
2025-06-01 06:00:00+02:00,1.79,1.79
2025-06-01 06:15:00+02:00,1.88,1.88
2025-06-01 06:30:00+02:00,9.99,9.99
2025-06-01 06:45:00+02:00,-5.14,-5.14
2025-06-01 07:00:00+02:00,41.0,41.0
2025-06-01 07:15:00+02:00,-23.01,-23.01
2025-06-01 07:30:00+02:00,48.5,48.5
2025-06-01 07:45:00+02:00,-12.59,-12.59
2025-06-01 08:00:00+02:00,-5.52,-5.52
2025-06-01 08:15:00+02:00,2.4,2.4
2025-06-01 08:30:00+02:00,1.62,1.62
2025-06-01 08:45:00+02:00,0.5,0.5
2025-06-01 09:00:00+02:00,-0.01,-0.01
2025-06-01 09:15:00+02:00,-0.01,-0.01
2025-06-01 09:30:00+02:00,-0.01,-0.01
2025-06-01 09:45:00+02:00,-0.01,-0.01
2025-06-01 10:00:00+02:00,-16.09,-16.09
2025-06-01 10:15:00+02:00,-20.12,-20.12
2025-06-01 10:30:00+02:00,-7.96,-7.96
2025-06-01 10:45:00+02:00,-18.77,-18.77
2025-06-01 11:00:00+02:00,-2.11,-2.11
2025-06-01 11:15:00+02:00,-10.92,-10.92
2025-06-01 11:30:00+02:00,-6.0,-6.0
2025-06-01 11:45:00+02:00,-8.26,-8.26
2025-06-01 12:00:00+02:00,-5.48,-5.48
2025-06-01 12:15:00+02:00,-8.0,-8.0
2025-06-01 12:30:00+02:00,-8.26,-8.26
2025-06-01 12:45:00+02:00,-8.26,-8.26
2025-06-01 13:00:00+02:00,-13.27,-13.27
2025-06-01 13:15:00+02:00,-10.87,-10.87
2025-06-01 13:30:00+02:00,-10.87,-10.87
2025-06-01 13:45:00+02:00,-11.14,-11.14
2025-06-01 14:00:00+02:00,-24.14,-24.14
2025-06-01 14:15:00+02:00,-28.16,-28.16
2025-06-01 14:30:00+02:00,-737.55,-737.55
2025-06-01 14:45:00+02:00,-737.55,-737.55
2025-06-01 15:00:00+02:00,-20.12,-20.12
2025-06-01 15:15:00+02:00,-16.09,-16.09
2025-06-01 15:30:00+02:00,-15.61,-15.61
2025-06-01 15:45:00+02:00,29.97,29.97
2025-06-01 16:00:00+02:00,-6.0,-6.0
2025-06-01 16:15:00+02:00,-6.0,-6.0
2025-06-01 16:30:00+02:00,10.77,10.77
2025-06-01 16:45:00+02:00,-6.0,-6.0
2025-06-01 17:00:00+02:00,1036.18,1036.18
2025-06-01 17:15:00+02:00,48.32,48.32
2025-06-01 17:30:00+02:00,108.11,108.11
2025-06-01 17:45:00+02:00,108.11,108.11
2025-06-01 18:00:00+02:00,528.31,528.31
2025-06-01 18:15:00+02:00,201.1,201.1
2025-06-01 18:30:00+02:00,62.5,62.5
2025-06-01 18:45:00+02:00,350.0,350.0
2025-06-01 19:00:00+02:00,-5.9,-5.9
2025-06-01 19:15:00+02:00,-30.96,-30.96
2025-06-01 19:30:00+02:00,9.31,9.31
2025-06-01 19:45:00+02:00,5.43,5.43
2025-06-01 20:00:00+02:00,-10.0,-10.0
2025-06-01 20:15:00+02:00,-6.01,-6.01
2025-06-01 20:30:00+02:00,2.39,2.39
2025-06-01 20:45:00+02:00,4.93,4.93
2025-06-01 21:00:00+02:00,13.41,13.41
2025-06-01 21:15:00+02:00,6.72,6.72
2025-06-01 21:30:00+02:00,0.0,0.0
2025-06-01 21:45:00+02:00,0.0,0.0
2025-06-01 22:00:00+02:00,18.16,18.16
2025-06-01 22:15:00+02:00,24.74,24.74
2025-06-01 22:30:00+02:00,27.85,27.85
2025-06-01 22:45:00+02:00,38.29,38.29
2025-06-01 23:00:00+02:00,23.55,23.55
2025-06-01 23:15:00+02:00,83.0,83.0
2025-06-01 23:30:00+02:00,83.0,83.0
2025-06-01 23:45:00+02:00,223.06,223.06
2025-06-02 00:00:00+02:00,395.09,395.09
2025-06-02 00:15:00+02:00,176.42,176.42
2025-06-02 00:30:00+02:00,82.5,82.5
2025-06-02 00:45:00+02:00,79.5,79.5
2025-06-02 01:00:00+02:00,82.0,82.0
2025-06-02 01:15:00+02:00,24.63,24.63
2025-06-02 01:30:00+02:00,9.29,9.29
2025-06-02 01:45:00+02:00,0.08,0.08
2025-06-02 02:00:00+02:00,81.5,81.5
2025-06-02 02:15:00+02:00,80.0,80.0
2025-06-02 02:30:00+02:00,80.5,80.5
2025-06-02 02:45:00+02:00,0.11,0.11
2025-06-02 03:00:00+02:00,87.0,87.0
2025-06-02 03:15:00+02:00,227.92,227.92
2025-06-02 03:30:00+02:00,81.5,81.5
2025-06-02 03:45:00+02:00,42.85,42.85
2025-06-02 04:00:00+02:00,46.98,46.98
2025-06-02 04:15:00+02:00,58.83,58.83
2025-06-02 04:30:00+02:00,201.11,201.11
2025-06-02 04:45:00+02:00,264.71,264.71
2025-06-02 05:00:00+02:00,12.12,12.12
2025-06-02 05:15:00+02:00,7.31,7.31
2025-06-02 05:30:00+02:00,0.4,0.4
2025-06-02 05:45:00+02:00,56.0,56.0
2025-06-02 06:00:00+02:00,59.5,59.5
2025-06-02 06:15:00+02:00,10.52,10.52
2025-06-02 06:30:00+02:00,321.78,321.78
2025-06-02 06:45:00+02:00,268.15,268.15
2025-06-02 07:00:00+02:00,1683.9,1683.9
2025-06-02 07:15:00+02:00,117.9,117.9
2025-06-02 07:30:00+02:00,9385.25,9385.25
2025-06-02 07:45:00+02:00,117.9,117.9
2025-06-02 08:00:00+02:00,102.36,102.36
2025-06-02 08:15:00+02:00,17.53,17.53
2025-06-02 08:30:00+02:00,264.71,264.71
2025-06-02 08:45:00+02:00,0.64,0.64
2025-06-02 09:00:00+02:00,-77.21,-77.21
2025-06-02 09:15:00+02:00,-11.74,-11.74
2025-06-02 09:30:00+02:00,0.35,0.35
2025-06-02 09:45:00+02:00,52.5,52.5
2025-06-02 10:00:00+02:00,378.04,378.04
2025-06-02 10:15:00+02:00,335.25,335.25
2025-06-02 10:30:00+02:00,496.31,496.31
2025-06-02 10:45:00+02:00,187.74,187.74
2025-06-02 11:00:00+02:00,335.19,335.19
2025-06-02 11:15:00+02:00,0.29,0.29
2025-06-02 11:30:00+02:00,8.32,8.32
2025-06-02 11:45:00+02:00,33.21,33.21
2025-06-02 12:00:00+02:00,6.98,6.98
2025-06-02 12:15:00+02:00,4.3,4.3
2025-06-02 12:30:00+02:00,8.32,8.32
2025-06-02 12:45:00+02:00,20.0,20.0
2025-06-02 13:00:00+02:00,8.09,8.09
2025-06-02 13:15:00+02:00,-6.55,-6.55
2025-06-02 13:30:00+02:00,2.68,2.68
2025-06-02 13:45:00+02:00,1.61,1.61
2025-06-02 14:00:00+02:00,6.7,6.7
2025-06-02 14:15:00+02:00,1.94,1.94
2025-06-02 14:30:00+02:00,-4.28,-4.28
2025-06-02 14:45:00+02:00,8.0,8.0
2025-06-02 15:00:00+02:00,1.31,1.31
2025-06-02 15:15:00+02:00,-12.7,-12.7
2025-06-02 15:30:00+02:00,-6.45,-6.45
2025-06-02 15:45:00+02:00,6.76,6.76
2025-06-02 16:00:00+02:00,0.19,0.19
2025-06-02 16:15:00+02:00,15.02,15.02
2025-06-02 16:30:00+02:00,10.95,10.95
2025-06-02 16:45:00+02:00,-3.18,-3.18
2025-06-02 17:00:00+02:00,0.5,0.5
2025-06-02 17:15:00+02:00,0.0,0.0
2025-06-02 17:30:00+02:00,-9.74,-9.74
2025-06-02 17:45:00+02:00,-4.91,-4.91
2025-06-02 18:00:00+02:00,-11.21,-11.21
2025-06-02 18:15:00+02:00,-3.68,-3.68
2025-06-02 18:30:00+02:00,-2.0,-2.0
2025-06-02 18:45:00+02:00,21.72,21.72
2025-06-02 19:00:00+02:00,-1.34,-1.34
2025-06-02 19:15:00+02:00,4.39,4.39
2025-06-02 19:30:00+02:00,7.47,7.47
2025-06-02 19:45:00+02:00,10.06,10.06
2025-06-02 20:00:00+02:00,0.26,0.26
2025-06-02 20:15:00+02:00,53.63,53.63
2025-06-02 20:30:00+02:00,164.69,164.69
2025-06-02 20:45:00+02:00,408.28,408.28
2025-06-02 21:00:00+02:00,-8.43,-8.43
2025-06-02 21:15:00+02:00,1.07,1.07
2025-06-02 21:30:00+02:00,-0.85,-0.85
2025-06-02 21:45:00+02:00,-0.44,-0.44
2025-06-02 22:00:00+02:00,-1.51,-1.51
2025-06-02 22:15:00+02:00,-2.24,-2.24
2025-06-02 22:30:00+02:00,2.15,2.15
2025-06-02 22:45:00+02:00,3.44,3.44
2025-06-02 23:00:00+02:00,3.47,3.47
2025-06-02 23:15:00+02:00,4.36,4.36
2025-06-02 23:30:00+02:00,60.0,60.0
2025-06-02 23:45:00+02:00,2.71,2.71
2025-06-03 00:00:00+02:00,3.22,3.22
2025-06-03 00:15:00+02:00,54.0,54.0
2025-06-03 00:30:00+02:00,0.02,0.02
2025-06-03 00:45:00+02:00,0.96,0.96
2025-06-03 01:00:00+02:00,2.56,2.56
2025-06-03 01:15:00+02:00,55.5,55.5
2025-06-03 01:30:00+02:00,55.5,55.5
2025-06-03 01:45:00+02:00,52.0,52.0
2025-06-03 02:00:00+02:00,51.0,51.0
2025-06-03 02:15:00+02:00,51.0,51.0
2025-06-03 02:30:00+02:00,0.2,0.2
2025-06-03 02:45:00+02:00,0.0,0.0
2025-06-03 03:00:00+02:00,0.96,0.96
2025-06-03 03:15:00+02:00,52.0,52.0
2025-06-03 03:30:00+02:00,19.54,19.54
2025-06-03 03:45:00+02:00,91.04,91.04
2025-06-03 04:00:00+02:00,86.98,86.98
2025-06-03 04:15:00+02:00,86.98,86.98
2025-06-03 04:30:00+02:00,0.0,0.0
2025-06-03 04:45:00+02:00,2.06,2.06
2025-06-03 05:00:00+02:00,91.83,91.83
2025-06-03 05:15:00+02:00,91.83,91.83
2025-06-03 05:30:00+02:00,1.7,1.7
2025-06-03 05:45:00+02:00,6.84,6.84
2025-06-03 06:00:00+02:00,-7.47,-7.47
2025-06-03 06:15:00+02:00,6.7,6.7
2025-06-03 06:30:00+02:00,7.04,7.04
2025-06-03 06:45:00+02:00,20.55,20.55
2025-06-03 07:00:00+02:00,70.13,70.13
2025-06-03 07:15:00+02:00,10.64,10.64
2025-06-03 07:30:00+02:00,55.5,55.5
2025-06-03 07:45:00+02:00,7.27,7.27
2025-06-03 08:00:00+02:00,134.47,134.47
2025-06-03 08:15:00+02:00,-4.07,-4.07
2025-06-03 08:30:00+02:00,-5.13,-5.13
2025-06-03 08:45:00+02:00,-8.02,-8.02
2025-06-03 09:00:00+02:00,-1.97,-1.97
2025-06-03 09:15:00+02:00,-12.8,-12.8
2025-06-03 09:30:00+02:00,-7.52,-7.52
2025-06-03 09:45:00+02:00,-12.15,-12.15
2025-06-03 10:00:00+02:00,2.0,2.0
2025-06-03 10:15:00+02:00,-49.67,-49.67
2025-06-03 10:30:00+02:00,-13.48,-13.48
2025-06-03 10:45:00+02:00,-18.58,-18.58
2025-06-03 11:00:00+02:00,-10.0,-10.0
2025-06-03 11:15:00+02:00,-14.0,-14.0
2025-06-03 11:30:00+02:00,-24.83,-24.83
2025-06-03 11:45:00+02:00,-57.3,-57.3
2025-06-03 12:00:00+02:00,-20.12,-20.12
2025-06-03 12:15:00+02:00,-22.5,-22.5
2025-06-03 12:30:00+02:00,-22.5,-22.5
2025-06-03 12:45:00+02:00,-56.33,-56.33
2025-06-03 13:00:00+02:00,-663.59,-663.59
2025-06-03 13:15:00+02:00,-694.5,-694.5
2025-06-03 13:30:00+02:00,-1141.69,-1141.69
2025-06-03 13:45:00+02:00,-444.43,-444.43
2025-06-03 14:00:00+02:00,-253.3,-253.3
2025-06-03 14:15:00+02:00,-48.83,-48.83
2025-06-03 14:30:00+02:00,-276.01,-276.01
2025-06-03 14:45:00+02:00,-46.94,-46.94
2025-06-03 15:00:00+02:00,-148.27,-148.27
2025-06-03 15:15:00+02:00,-15.95,-15.95
2025-06-03 15:30:00+02:00,3.75,3.75
2025-06-03 15:45:00+02:00,-1.33,-1.33
2025-06-03 16:00:00+02:00,-24.82,-24.82
2025-06-03 16:15:00+02:00,0.0,0.0
2025-06-03 16:30:00+02:00,-13.4,-13.4
2025-06-03 16:45:00+02:00,384.0,384.0
2025-06-03 17:00:00+02:00,-370.65,-370.65
2025-06-03 17:15:00+02:00,-18.43,-18.43
2025-06-03 17:30:00+02:00,-12.52,-12.52
2025-06-03 17:45:00+02:00,579.42,579.42
2025-06-03 18:00:00+02:00,44.2,44.2
2025-06-03 18:15:00+02:00,348.24,348.24
2025-06-03 18:30:00+02:00,465.68,465.68
2025-06-03 18:45:00+02:00,85.0,85.0
2025-06-03 19:00:00+02:00,-21.89,-21.89
2025-06-03 19:15:00+02:00,72.49,72.49
2025-06-03 19:30:00+02:00,79.0,79.0
2025-06-03 19:45:00+02:00,81.5,81.5
2025-06-03 20:00:00+02:00,-19.11,-19.11
2025-06-03 20:15:00+02:00,38.99,38.99
2025-06-03 20:30:00+02:00,0.1,0.1
2025-06-03 20:45:00+02:00,198.66,198.66
2025-06-03 21:00:00+02:00,95.2,95.2
2025-06-03 21:15:00+02:00,-16.78,-16.78
2025-06-03 21:30:00+02:00,95.2,95.2
2025-06-03 21:45:00+02:00,-13.16,-13.16
2025-06-03 22:00:00+02:00,-6.24,-6.24
2025-06-03 22:15:00+02:00,-1.34,-1.34
2025-06-03 22:30:00+02:00,-11.27,-11.27
2025-06-03 22:45:00+02:00,-22.15,-22.15
2025-06-03 23:00:00+02:00,-9.69,-9.69
2025-06-03 23:15:00+02:00,-5.5,-5.5
2025-06-03 23:30:00+02:00,-851.17,-851.17
2025-06-03 23:45:00+02:00,-47.55,-47.55
2025-06-04 00:00:00+02:00,-16.83,-16.83
2025-06-04 00:15:00+02:00,603.19,603.19
2025-06-04 00:30:00+02:00,-198.0,-198.0
2025-06-04 00:45:00+02:00,-1.86,-1.86
2025-06-04 01:00:00+02:00,0.0,0.0
2025-06-04 01:15:00+02:00,40.0,40.0
2025-06-04 01:30:00+02:00,-1.83,-1.83
2025-06-04 01:45:00+02:00,62.77,62.77
2025-06-04 02:00:00+02:00,-12.86,-12.86
2025-06-04 02:15:00+02:00,0.27,0.27
2025-06-04 02:30:00+02:00,2.97,2.97
2025-06-04 02:45:00+02:00,-20.72,-20.72
2025-06-04 03:00:00+02:00,-230.58,-230.58
2025-06-04 03:15:00+02:00,-15.99,-15.99
2025-06-04 03:30:00+02:00,-6.57,-6.57
2025-06-04 03:45:00+02:00,-1.5,-1.5
2025-06-04 04:00:00+02:00,-19.54,-19.54
2025-06-04 04:15:00+02:00,-346.2,-346.2
2025-06-04 04:30:00+02:00,-29.15,-29.15
2025-06-04 04:45:00+02:00,-20.37,-20.37
2025-06-04 05:00:00+02:00,-21.68,-21.68
2025-06-04 05:15:00+02:00,0.0,0.0
2025-06-04 05:30:00+02:00,-45.94,-45.94
2025-06-04 05:45:00+02:00,-215.77,-215.77
2025-06-04 06:00:00+02:00,-17.35,-17.35
2025-06-04 06:15:00+02:00,-10.0,-10.0
2025-06-04 06:30:00+02:00,-10.0,-10.0
2025-06-04 06:45:00+02:00,-9.38,-9.38
2025-06-04 07:00:00+02:00,-8.39,-8.39
2025-06-04 07:15:00+02:00,15.75,15.75
2025-06-04 07:30:00+02:00,0.0,0.0
2025-06-04 07:45:00+02:00,-27.17,-27.17
2025-06-04 08:00:00+02:00,-4.96,-4.96
2025-06-04 08:15:00+02:00,154.76,154.76
2025-06-04 08:30:00+02:00,112.4,112.4
2025-06-04 08:45:00+02:00,112.4,112.4
2025-06-04 09:00:00+02:00,53.5,53.5
2025-06-04 09:15:00+02:00,53.5,53.5
2025-06-04 09:30:00+02:00,56.5,56.5
2025-06-04 09:45:00+02:00,79.08,79.08
2025-06-04 10:00:00+02:00,51.5,51.5
2025-06-04 10:15:00+02:00,-0.92,-0.92
2025-06-04 10:30:00+02:00,187.6,187.6
2025-06-04 10:45:00+02:00,70.68,70.68
2025-06-04 11:00:00+02:00,-19.35,-19.35
2025-06-04 11:15:00+02:00,44.84,44.84
2025-06-04 11:30:00+02:00,44.84,44.84
2025-06-04 11:45:00+02:00,5.55,5.55
2025-06-04 12:00:00+02:00,20.12,20.12
2025-06-04 12:15:00+02:00,526.25,526.25
2025-06-04 12:30:00+02:00,47.0,47.0
2025-06-04 12:45:00+02:00,343.16,343.16
2025-06-04 13:00:00+02:00,126.14,126.14
2025-06-04 13:15:00+02:00,82.63,82.63
2025-06-04 13:30:00+02:00,3.2,3.2
2025-06-04 13:45:00+02:00,1.86,1.86
2025-06-04 14:00:00+02:00,2.03,2.03
2025-06-04 14:15:00+02:00,-18.98,-18.98
2025-06-04 14:30:00+02:00,33.27,33.27
2025-06-04 14:45:00+02:00,-24.52,-24.52
2025-06-04 15:00:00+02:00,-17.86,-17.86
2025-06-04 15:15:00+02:00,-10.0,-10.0
2025-06-04 15:30:00+02:00,-10.76,-10.76
2025-06-04 15:45:00+02:00,-13.4,-13.4
2025-06-04 16:00:00+02:00,-5.88,-5.88
2025-06-04 16:15:00+02:00,-1.53,-1.53
2025-06-04 16:30:00+02:00,1.53,1.53
2025-06-04 16:45:00+02:00,46.91,46.91
2025-06-04 17:00:00+02:00,0.0,0.0
2025-06-04 17:15:00+02:00,73.1,73.1
2025-06-04 17:30:00+02:00,73.1,73.1
2025-06-04 17:45:00+02:00,1.86,1.86
2025-06-04 18:00:00+02:00,-22.98,-22.98
2025-06-04 18:15:00+02:00,-22.76,-22.76
2025-06-04 18:30:00+02:00,-0.74,-0.74
2025-06-04 18:45:00+02:00,-3.78,-3.78
2025-06-04 19:00:00+02:00,7.66,7.66
2025-06-04 19:15:00+02:00,8.71,8.71
2025-06-04 19:30:00+02:00,-6.02,-6.02
2025-06-04 19:45:00+02:00,0.75,0.75
2025-06-04 20:00:00+02:00,4.8,4.8
2025-06-04 20:15:00+02:00,9.64,9.64
2025-06-04 20:30:00+02:00,7.92,7.92
2025-06-04 20:45:00+02:00,63.5,63.5
2025-06-04 21:00:00+02:00,10.47,10.47
2025-06-04 21:15:00+02:00,10.64,10.64
2025-06-04 21:30:00+02:00,60.5,60.5
2025-06-04 21:45:00+02:00,2.06,2.06
2025-06-04 22:00:00+02:00,0.19,0.19
2025-06-04 22:15:00+02:00,12.28,12.28
2025-06-04 22:30:00+02:00,14.63,14.63
2025-06-04 22:45:00+02:00,17.06,17.06
2025-06-04 23:00:00+02:00,17.95,17.95
2025-06-04 23:15:00+02:00,18.48,18.48
2025-06-04 23:30:00+02:00,21.45,21.45
2025-06-04 23:45:00+02:00,6.38,6.38
2025-06-05 00:00:00+02:00,15.57,15.57
2025-06-05 00:15:00+02:00,352.91,352.91
2025-06-05 00:30:00+02:00,40.73,40.73
2025-06-05 00:45:00+02:00,55.53,55.53
2025-06-05 01:00:00+02:00,53.33,53.33
2025-06-05 01:15:00+02:00,23.16,23.16
2025-06-05 01:30:00+02:00,294.92,294.92
2025-06-05 01:45:00+02:00,352.82,352.82
2025-06-05 02:00:00+02:00,335.14,335.14
2025-06-05 02:15:00+02:00,347.87,347.87
2025-06-05 02:30:00+02:00,495.96,495.96
2025-06-05 02:45:00+02:00,670.28,670.28
2025-06-05 03:00:00+02:00,368.65,368.65
2025-06-05 03:15:00+02:00,239.94,239.94
2025-06-05 03:30:00+02:00,241.2,241.2
2025-06-05 03:45:00+02:00,79.79,79.79
2025-06-05 04:00:00+02:00,80.57,80.57
2025-06-05 04:15:00+02:00,80.57,80.57
2025-06-05 04:30:00+02:00,36.36,36.36
2025-06-05 04:45:00+02:00,5.12,5.12
2025-06-05 05:00:00+02:00,14.35,14.35
2025-06-05 05:15:00+02:00,-3.92,-3.92
2025-06-05 05:30:00+02:00,6.45,6.45
2025-06-05 05:45:00+02:00,51.5,51.5
2025-06-05 06:00:00+02:00,2.55,2.55
2025-06-05 06:15:00+02:00,6.6,6.6
2025-06-05 06:30:00+02:00,57.06,57.06
2025-06-05 06:45:00+02:00,60.0,60.0
2025-06-05 07:00:00+02:00,60.0,60.0
2025-06-05 07:15:00+02:00,44.24,44.24
2025-06-05 07:30:00+02:00,23.66,23.66
2025-06-05 07:45:00+02:00,-5.2,-5.2
2025-06-05 08:00:00+02:00,0.18,0.18
2025-06-05 08:15:00+02:00,19.55,19.55
2025-06-05 08:30:00+02:00,16.66,16.66
2025-06-05 08:45:00+02:00,1.86,1.86
2025-06-05 09:00:00+02:00,1292.48,1292.48
2025-06-05 09:15:00+02:00,358.4,358.4
2025-06-05 09:30:00+02:00,84.5,84.5
2025-06-05 09:45:00+02:00,83.5,83.5
2025-06-05 10:00:00+02:00,79.65,79.65
2025-06-05 10:15:00+02:00,65.01,65.01
2025-06-05 10:30:00+02:00,194.3,194.3
2025-06-05 10:45:00+02:00,-16.03,-16.03
2025-06-05 11:00:00+02:00,-16.7,-16.7
2025-06-05 11:15:00+02:00,-16.09,-16.09
2025-06-05 11:30:00+02:00,-16.91,-16.91
2025-06-05 11:45:00+02:00,-7.82,-7.82
2025-06-05 12:00:00+02:00,2.83,2.83
2025-06-05 12:15:00+02:00,8.13,8.13
2025-06-05 12:30:00+02:00,1.65,1.65
2025-06-05 12:45:00+02:00,-3.23,-3.23
2025-06-05 13:00:00+02:00,-4.69,-4.69
2025-06-05 13:15:00+02:00,1.85,1.85
2025-06-05 13:30:00+02:00,8.0,8.0
2025-06-05 13:45:00+02:00,11.03,11.03
2025-06-05 14:00:00+02:00,200.95,200.95
2025-06-05 14:15:00+02:00,43.0,43.0
2025-06-05 14:30:00+02:00,42.5,42.5
2025-06-05 14:45:00+02:00,56.86,56.86
2025-06-05 15:00:00+02:00,19.87,19.87
2025-06-05 15:15:00+02:00,19.87,19.87
2025-06-05 15:30:00+02:00,8.36,8.36
2025-06-05 15:45:00+02:00,1.51,1.51
2025-06-05 16:00:00+02:00,-9.73,-9.73
2025-06-05 16:15:00+02:00,-15.44,-15.44
2025-06-05 16:30:00+02:00,-9.66,-9.66
2025-06-05 16:45:00+02:00,-7.72,-7.72
2025-06-05 17:00:00+02:00,-6.06,-6.06
2025-06-05 17:15:00+02:00,0.05,0.05
2025-06-05 17:30:00+02:00,5.64,5.64
2025-06-05 17:45:00+02:00,0.0,0.0
2025-06-05 18:00:00+02:00,3.99,3.99
2025-06-05 18:15:00+02:00,-8.01,-8.01
2025-06-05 18:30:00+02:00,-10.11,-10.11
2025-06-05 18:45:00+02:00,-2.64,-2.64
2025-06-05 19:00:00+02:00,267.66,267.66
2025-06-05 19:15:00+02:00,536.21,536.21
2025-06-05 19:30:00+02:00,457.37,457.37
2025-06-05 19:45:00+02:00,550.46,550.46
2025-06-05 20:00:00+02:00,10.83,10.83
2025-06-05 20:15:00+02:00,53.62,53.62
2025-06-05 20:30:00+02:00,79.61,79.61
2025-06-05 20:45:00+02:00,122.73,122.73
2025-06-05 21:00:00+02:00,348.54,348.54
2025-06-05 21:15:00+02:00,496.82,496.82
2025-06-05 21:30:00+02:00,670.27,670.27
2025-06-05 21:45:00+02:00,643.45,643.45
2025-06-05 22:00:00+02:00,347.87,347.87
2025-06-05 22:15:00+02:00,274.81,274.81
2025-06-05 22:30:00+02:00,28.92,28.92
2025-06-05 22:45:00+02:00,85.03,85.03
2025-06-05 23:00:00+02:00,168.82,168.82
2025-06-05 23:15:00+02:00,95.53,95.53
2025-06-05 23:30:00+02:00,75.83,75.83
2025-06-05 23:45:00+02:00,75.83,75.83
2025-06-06 00:00:00+02:00,12.48,12.48
2025-06-06 00:15:00+02:00,536.21,536.21
2025-06-06 00:30:00+02:00,-0.27,-0.27
2025-06-06 00:45:00+02:00,0.99,0.99
2025-06-06 01:00:00+02:00,2.95,2.95
2025-06-06 01:15:00+02:00,8.26,8.26
2025-06-06 01:30:00+02:00,8.92,8.92
2025-06-06 01:45:00+02:00,40.52,40.52
2025-06-06 02:00:00+02:00,60.86,60.86
2025-06-06 02:15:00+02:00,2312.02,2312.02
2025-06-06 02:30:00+02:00,442.37,442.37
2025-06-06 02:45:00+02:00,401.48,401.48
2025-06-06 03:00:00+02:00,3.35,3.35
2025-06-06 03:15:00+02:00,43.91,43.91
2025-06-06 03:30:00+02:00,52.0,52.0
2025-06-06 03:45:00+02:00,43.91,43.91
2025-06-06 04:00:00+02:00,7.45,7.45
2025-06-06 04:15:00+02:00,10.78,10.78
2025-06-06 04:30:00+02:00,8.72,8.72
2025-06-06 04:45:00+02:00,15.28,15.28
2025-06-06 05:00:00+02:00,9.35,9.35
2025-06-06 05:15:00+02:00,5.93,5.93
2025-06-06 05:30:00+02:00,8.29,8.29
2025-06-06 05:45:00+02:00,33.17,33.17
2025-06-06 06:00:00+02:00,-17.78,-17.78
2025-06-06 06:15:00+02:00,2.95,2.95
2025-06-06 06:30:00+02:00,6.98,6.98
2025-06-06 06:45:00+02:00,44.49,44.49
2025-06-06 07:00:00+02:00,-2.68,-2.68
2025-06-06 07:15:00+02:00,10.86,10.86
2025-06-06 07:30:00+02:00,-27.01,-27.01
2025-06-06 07:45:00+02:00,-23.49,-23.49
2025-06-06 08:00:00+02:00,-20.62,-20.62
2025-06-06 08:15:00+02:00,-21.95,-21.95
2025-06-06 08:30:00+02:00,-22.13,-22.13
2025-06-06 08:45:00+02:00,-18.25,-18.25
2025-06-06 09:00:00+02:00,-90.31,-90.31
2025-06-06 09:15:00+02:00,-56.45,-56.45
2025-06-06 09:30:00+02:00,-20.2,-20.2
2025-06-06 09:45:00+02:00,-20.11,-20.11
2025-06-06 10:00:00+02:00,-18.43,-18.43
2025-06-06 10:15:00+02:00,-31.22,-31.22
2025-06-06 10:30:00+02:00,-28.05,-28.05
2025-06-06 10:45:00+02:00,-14.33,-14.33
2025-06-06 11:00:00+02:00,-17.79,-17.79
2025-06-06 11:15:00+02:00,-21.66,-21.66
2025-06-06 11:30:00+02:00,-20.03,-20.03
2025-06-06 11:45:00+02:00,-20.2,-20.2
2025-06-06 12:00:00+02:00,-20.12,-20.12
2025-06-06 12:15:00+02:00,-24.21,-24.21
2025-06-06 12:30:00+02:00,-21.36,-21.36
2025-06-06 12:45:00+02:00,-20.11,-20.11
2025-06-06 13:00:00+02:00,-21.03,-21.03
2025-06-06 13:15:00+02:00,-31.62,-31.62
2025-06-06 13:30:00+02:00,-16.08,-16.08
2025-06-06 13:45:00+02:00,-13.41,-13.41
2025-06-06 14:00:00+02:00,-12.89,-12.89
2025-06-06 14:15:00+02:00,-20.12,-20.12
2025-06-06 14:30:00+02:00,-21.45,-21.45
2025-06-06 14:45:00+02:00,-13.41,-13.41
2025-06-06 15:00:00+02:00,-14.0,-14.0
2025-06-06 15:15:00+02:00,-140.18,-140.18
